loan_amount,income,Credit_Score,age
126500,2220.0,629,65-74
156500,3780.0,791,55-64
196500,5580.0,671,55-64
256500,11760.0,787,45-54
1376500,54300.0,572,55-64
376500,4680.0,755,35-44
296500,4140.0,670,65-74
566500,8580.0,760,45-54
416500,10020.0,578,35-44
476500,9000.0,648,45-54
686500,0.0,836,45-54
556500,25680.0,900,45-54
266500,8580.0,777,55-64
406500,7080.0,765,35-44
256500,,534,65-74
236500,4920.0,667,65-74
656500,8640.0,880,35-44
156500,3960.0,820,45-54
406500,3600.0,568,25-34
476500,6180.0,805,>74
676500,10080.0,590,55-64
206500,,892,35-44
126500,2520.0,540,55-64
366500,10200.0,869,55-64
156500,2520.0,737,>74
276500,7980.0,831,65-74
636500,11640.0,671,45-54
486500,13560.0,608,65-74
266500,,803,65-74
356500,4800.0,795,65-74
396500,26100.0,642,55-64
486500,9000.0,674,35-44
716500,14220.0,804,>74
596500,10800.0,788,45-54
636500,19620.0,737,45-54
116500,2640.0,781,45-54
376500,11880.0,545,45-54
356500,6660.0,796,65-74
86500,3240.0,660,45-54
226500,3360.0,850,25-34
66500,840.0,851,35-44
556500,7020.0,794,55-64
376500,,866,35-44
106500,1500.0,777,45-54
316500,9180.0,780,45-54
116500,3960.0,611,45-54
86500,4440.0,584,65-74
326500,6480.0,621,25-34
176500,4140.0,660,<25
156500,1860.0,862,45-54
346500,8280.0,829,45-54
616500,9900.0,848,25-34
456500,78120.0,775,55-64
96500,3180.0,812,55-64
256500,3540.0,733,25-34
146500,3120.0,700,25-34
316500,6960.0,781,35-44
76500,3180.0,633,25-34
406500,,702,25-34
116500,1980.0,882,55-64
136500,18420.0,880,25-34
206500,2940.0,686,>74
306500,6840.0,733,45-54
166500,1740.0,652,55-64
216500,,524,25-34
306500,8280.0,705,25-34
826500,13140.0,844,45-54
136500,2220.0,642,25-34
346500,18240.0,649,45-54
386500,8760.0,557,35-44
706500,15840.0,866,45-54
276500,5880.0,761,65-74
26500,1260.0,569,55-64
276500,,523,55-64
186500,2100.0,740,55-64
366500,0.0,638,45-54
666500,18000.0,506,55-64
226500,4320.0,803,35-44
106500,1680.0,880,45-54
426500,,690,35-44
216500,4560.0,616,25-34
146500,2460.0,648,<25
676500,9060.0,660,55-64
316500,8220.0,782,35-44
76500,7380.0,601,55-64
446500,7440.0,809,55-64
256500,10800.0,855,25-34
406500,7560.0,768,45-54
196500,7500.0,627,>74
266500,1380.0,854,55-64
196500,4020.0,700,>74
56500,2220.0,762,55-64
546500,10440.0,746,45-54
336500,4800.0,592,25-34
986500,12240.0,703,45-54
566500,7620.0,613,25-34
526500,9660.0,697,35-44
476500,6480.0,740,45-54
186500,4260.0,545,55-64
316500,5280.0,710,55-64
276500,10740.0,664,35-44
606500,,522,35-44
476500,8160.0,789,25-34
526500,9960.0,898,25-34
566500,13500.0,693,35-44
236500,5400.0,571,65-74
256500,7320.0,597,45-54
586500,8220.0,680,65-74
316500,5640.0,571,>74
156500,3600.0,575,45-54
436500,6600.0,694,35-44
486500,16080.0,581,55-64
356500,5100.0,796,35-44
266500,2700.0,678,45-54
186500,2280.0,714,65-74
126500,5340.0,871,45-54
276500,4680.0,800,65-74
106500,2460.0,700,65-74
386500,7320.0,880,35-44
376500,6720.0,853,25-34
206500,2760.0,644,55-64
286500,9660.0,898,35-44
486500,5040.0,717,25-34
406500,5580.0,773,25-34
146500,4620.0,868,45-54
156500,5460.0,540,55-64
476500,6600.0,718,35-44
86500,2220.0,786,45-54
246500,2580.0,713,>74
596500,5100.0,874,65-74
556500,8100.0,647,55-64
1226500,16260.0,711,45-54
266500,8880.0,625,35-44
196500,,768,
416500,5100.0,626,25-34
206500,2580.0,500,55-64
106500,8100.0,700,35-44
386500,12120.0,663,45-54
246500,3660.0,538,25-34
266500,4260.0,695,25-34
336500,5580.0,517,35-44
126500,3000.0,815,45-54
206500,5220.0,759,65-74
66500,1860.0,792,<25
476500,9180.0,822,45-54
376500,8100.0,516,45-54
256500,6840.0,704,35-44
316500,9000.0,808,55-64
426500,9360.0,534,25-34
216500,4560.0,786,55-64
436500,4620.0,605,35-44
126500,4260.0,539,55-64
96500,4680.0,522,65-74
406500,6960.0,812,25-34
336500,3660.0,860,25-34
426500,4440.0,876,35-44
416500,9120.0,762,35-44
186500,4920.0,809,25-34
606500,12060.0,595,45-54
446500,9180.0,598,55-64
156500,4860.0,763,35-44
256500,2640.0,515,35-44
336500,27000.0,508,25-34
406500,7920.0,820,55-64
266500,3840.0,529,55-64
266500,3840.0,592,25-34
156500,5880.0,545,45-54
186500,3180.0,830,55-64
636500,0.0,710,45-54
286500,4140.0,551,65-74
266500,3480.0,715,35-44
266500,3660.0,802,35-44
226500,4320.0,871,45-54
146500,,557,45-54
166500,2100.0,879,65-74
76500,1140.0,743,55-64
336500,7200.0,572,45-54
266500,5460.0,699,55-64
186500,3420.0,538,65-74
506500,6360.0,617,55-64
286500,5040.0,761,55-64
566500,7860.0,711,25-34
366500,6060.0,640,65-74
426500,4800.0,665,25-34
296500,4440.0,667,35-44
676500,7380.0,834,65-74
526500,7200.0,829,35-44
256500,5100.0,871,35-44
266500,8340.0,661,35-44
216500,4980.0,661,45-54
156500,4080.0,664,65-74
726500,9660.0,896,35-44
486500,17640.0,856,25-34
256500,6720.0,603,55-64
396500,5040.0,627,35-44
236500,3240.0,715,55-64
236500,5280.0,595,65-74
1486500,23760.0,861,35-44
156500,4620.0,851,55-64
86500,1620.0,660,65-74
1416500,24060.0,767,45-54
396500,,656,35-44
486500,12060.0,875,35-44
216500,3840.0,778,55-64
266500,7200.0,652,35-44
466500,5760.0,577,35-44
156500,3540.0,869,35-44
606500,7440.0,758,55-64
246500,8040.0,701,45-54
316500,5460.0,775,45-54
556500,71220.0,893,55-64
266500,3060.0,870,65-74
306500,7140.0,785,45-54
456500,9300.0,779,45-54
116500,2520.0,565,55-64
206500,5160.0,792,55-64
556500,5820.0,753,55-64
486500,8700.0,838,45-54
186500,,769,25-34
266500,3120.0,851,65-74
136500,2640.0,517,25-34
536500,6720.0,852,25-34
186500,8820.0,587,55-64
796500,8880.0,694,65-74
336500,3060.0,781,55-64
196500,1620.0,729,45-54
536500,6000.0,597,65-74
166500,2520.0,640,>74
336500,5100.0,719,25-34
136500,,744,35-44
106500,1860.0,768,35-44
176500,4320.0,770,45-54
446500,11400.0,850,45-54
416500,7200.0,598,35-44
96500,4380.0,818,55-64
306500,,614,25-34
406500,12000.0,604,55-64
416500,,892,45-54
156500,,804,>74
126500,3360.0,737,55-64
406500,10860.0,888,45-54
506500,8100.0,543,35-44
516500,6780.0,547,35-44
556500,8760.0,571,35-44
296500,4680.0,803,25-34
246500,3720.0,639,55-64
246500,4320.0,869,55-64
226500,12540.0,621,55-64
156500,5400.0,715,35-44
176500,9360.0,774,35-44
266500,8280.0,651,45-54
216500,5400.0,728,45-54
416500,8460.0,618,35-44
106500,2580.0,574,65-74
456500,6300.0,505,55-64
456500,12420.0,773,35-44
96500,1680.0,716,55-64
126500,5280.0,798,35-44
246500,5940.0,807,55-64
496500,30180.0,530,45-54
156500,10200.0,729,45-54
156500,7440.0,815,65-74
326500,8640.0,703,35-44
86500,1980.0,668,>74
376500,6180.0,611,45-54
206500,3420.0,814,55-64
116500,2520.0,843,25-34
156500,7200.0,845,65-74
266500,11160.0,635,35-44
136500,3780.0,824,35-44
276500,4260.0,519,25-34
86500,3480.0,559,35-44
46500,1320.0,633,65-74
356500,14640.0,621,55-64
456500,6120.0,837,45-54
176500,5760.0,779,35-44
516500,0.0,847,65-74
876500,19800.0,885,45-54
586500,7020.0,584,25-34
206500,2280.0,630,35-44
426500,,589,65-74
126500,2940.0,714,45-54
306500,5040.0,723,25-34
246500,5040.0,654,45-54
256500,3720.0,724,55-64
126500,,540,>74
386500,6960.0,856,35-44
156500,2580.0,527,25-34
486500,12660.0,605,45-54
406500,4620.0,738,25-34
656500,11220.0,811,55-64
506500,7380.0,546,25-34
196500,4200.0,569,45-54
566500,6360.0,806,35-44
106500,7380.0,537,65-74
516500,,759,55-64
66500,3960.0,734,65-74
216500,5880.0,517,45-54
476500,9720.0,547,45-54
96500,2220.0,594,>74
246500,3720.0,853,55-64
86500,2820.0,538,65-74
176500,3240.0,836,35-44
436500,6660.0,658,55-64
336500,3780.0,670,55-64
216500,4740.0,800,35-44
366500,6540.0,884,25-34
226500,,583,45-54
126500,2760.0,633,45-54
216500,5760.0,666,35-44
406500,3780.0,742,45-54
206500,3660.0,640,65-74
166500,5460.0,512,>74
146500,7020.0,508,55-64
506500,7500.0,699,35-44
116500,1920.0,581,25-34
366500,9360.0,723,45-54
266500,3540.0,692,65-74
226500,2220.0,522,65-74
266500,6240.0,830,35-44
86500,4860.0,877,55-64
116500,1860.0,614,35-44
196500,8340.0,706,55-64
186500,3600.0,546,45-54
346500,5460.0,858,25-34
506500,9720.0,727,45-54
126500,1740.0,626,>74
506500,,620,65-74
306500,1800.0,580,>74
506500,4980.0,698,45-54
356500,0.0,609,25-34
106500,3000.0,623,45-54
496500,12360.0,544,45-54
486500,7920.0,645,45-54
136500,4500.0,620,45-54
186500,2820.0,657,65-74
546500,9120.0,652,35-44
176500,3420.0,860,65-74
456500,6480.0,712,65-74
416500,7500.0,787,35-44
356500,5400.0,866,65-74
526500,10500.0,513,45-54
256500,4440.0,737,45-54
566500,5340.0,694,25-34
196500,2580.0,501,>74
336500,4560.0,876,>74
406500,6000.0,771,65-74
446500,,898,35-44
316500,7260.0,815,25-34
286500,5400.0,736,35-44
206500,6000.0,885,45-54
146500,3420.0,760,55-64
446500,6360.0,514,35-44
226500,2820.0,678,55-64
406500,7800.0,843,35-44
446500,4320.0,597,45-54
306500,4260.0,698,45-54
256500,6780.0,536,45-54
206500,3720.0,875,45-54
576500,4680.0,537,45-54
256500,3120.0,523,45-54
556500,10740.0,822,55-64
236500,,703,25-34
486500,10980.0,638,45-54
416500,6480.0,619,55-64
276500,,671,65-74
126500,8580.0,580,55-64
326500,4260.0,512,25-34
486500,8340.0,828,35-44
176500,9420.0,588,65-74
406500,15240.0,822,35-44
726500,14160.0,730,>74
266500,,858,45-54
216500,5160.0,815,55-64
366500,,597,>74
566500,6000.0,731,35-44
386500,6900.0,646,35-44
506500,9720.0,563,35-44
226500,4440.0,525,25-34
416500,4260.0,585,>74
176500,3360.0,783,>74
506500,12840.0,782,55-64
396500,21000.0,540,45-54
606500,7800.0,761,45-54
626500,7560.0,784,25-34
576500,11520.0,725,55-64
126500,4680.0,657,55-64
556500,9720.0,752,35-44
546500,8160.0,715,25-34
196500,2760.0,756,45-54
126500,2160.0,834,35-44
356500,4320.0,557,45-54
286500,7440.0,833,55-64
166500,5760.0,585,65-74
226500,2640.0,880,65-74
486500,12300.0,616,35-44
156500,3960.0,727,>74
236500,3720.0,654,55-64
486500,13860.0,561,55-64
186500,5340.0,791,45-54
396500,13140.0,613,45-54
346500,,884,35-44
626500,,570,55-64
336500,3240.0,805,>74
306500,3600.0,899,45-54
416500,6360.0,890,65-74
436500,14340.0,545,>74
486500,8760.0,720,35-44
286500,4620.0,775,65-74
516500,,722,25-34
596500,16680.0,526,35-44
716500,7860.0,553,25-34
566500,16260.0,561,55-64
296500,4680.0,845,55-64
356500,5160.0,815,<25
256500,5760.0,513,35-44
586500,7800.0,569,45-54
626500,9060.0,898,45-54
266500,4260.0,719,55-64
236500,3300.0,596,25-34
286500,4440.0,879,25-34
566500,,814,45-54
656500,11100.0,750,35-44
466500,10380.0,848,25-34
186500,5820.0,549,35-44
416500,4560.0,709,55-64
356500,7860.0,735,25-34
386500,6300.0,829,45-54
446500,4800.0,546,25-34
226500,4920.0,633,55-64
296500,10080.0,547,>74
376500,32400.0,818,35-44
326500,16200.0,776,45-54
256500,3120.0,728,25-34
206500,11640.0,857,45-54
216500,,881,55-64
706500,17640.0,899,35-44
246500,,629,55-64
266500,9180.0,669,45-54
416500,5280.0,806,35-44
376500,13080.0,680,55-64
366500,7140.0,774,45-54
276500,3840.0,565,35-44
496500,16020.0,654,45-54
236500,7800.0,556,45-54
226500,3900.0,500,65-74
346500,3540.0,686,>74
286500,7800.0,811,>74
406500,8160.0,630,25-34
276500,3840.0,726,45-54
166500,,535,25-34
366500,3960.0,653,55-64
196500,6120.0,745,>74
216500,0.0,626,25-34
206500,4680.0,797,35-44
146500,2760.0,697,45-54
456500,0.0,536,55-64
536500,10800.0,763,45-54
366500,4860.0,636,55-64
106500,3900.0,684,55-64
136500,0.0,535,25-34
366500,3900.0,723,35-44
336500,4620.0,617,45-54
446500,4080.0,827,65-74
386500,11400.0,616,25-34
696500,13440.0,766,35-44
236500,3900.0,887,35-44
616500,,777,45-54
196500,4920.0,672,55-64
576500,8880.0,623,25-34
236500,3180.0,623,65-74
236500,,518,55-64
256500,5880.0,573,45-54
376500,,690,65-74
286500,,843,35-44
446500,7080.0,553,35-44
276500,8280.0,501,65-74
386500,8880.0,658,25-34
216500,6420.0,525,45-54
156500,1920.0,816,35-44
206500,9780.0,829,45-54
296500,4560.0,527,35-44
306500,6120.0,783,55-64
276500,6420.0,640,45-54
296500,21660.0,500,45-54
536500,8340.0,581,25-34
56500,2880.0,893,65-74
366500,4620.0,797,45-54
346500,8400.0,880,35-44
266500,28440.0,735,55-64
306500,4800.0,608,25-34
126500,3240.0,892,45-54
386500,4680.0,574,25-34
136500,3240.0,707,55-64
486500,6600.0,686,65-74
556500,9900.0,607,25-34
226500,5820.0,561,65-74
256500,6300.0,828,35-44
256500,3180.0,817,65-74
296500,6600.0,640,45-54
356500,3120.0,889,25-34
156500,3480.0,858,>74
226500,3900.0,775,45-54
146500,3300.0,516,35-44
616500,,585,55-64
326500,8040.0,581,45-54
146500,3720.0,634,65-74
486500,5100.0,873,45-54
356500,9060.0,862,35-44
226500,3240.0,692,>74
86500,2580.0,846,65-74
406500,15540.0,519,45-54
116500,4740.0,799,35-44
216500,2400.0,810,25-34
396500,6840.0,679,55-64
596500,11820.0,688,35-44
516500,9660.0,558,35-44
156500,7200.0,618,55-64
486500,5580.0,730,35-44
346500,4680.0,652,55-64
486500,7800.0,723,45-54
456500,6780.0,769,55-64
336500,,703,45-54
536500,16380.0,575,55-64
216500,3360.0,624,>74
186500,4440.0,715,>74
336500,7260.0,618,45-54
326500,15780.0,817,35-44
236500,4140.0,825,45-54
536500,9660.0,824,35-44
76500,2160.0,572,65-74
556500,9660.0,879,35-44
316500,,549,35-44
186500,4620.0,571,25-34
506500,7380.0,708,35-44
466500,6540.0,803,65-74
286500,4320.0,773,35-44
726500,18480.0,867,45-54
366500,4200.0,680,55-64
116500,1980.0,880,55-64
246500,6180.0,663,>74
606500,14220.0,502,45-54
226500,8160.0,583,65-74
486500,6420.0,831,25-34
126500,3240.0,539,65-74
266500,5520.0,869,55-64
556500,4860.0,583,55-64
346500,7620.0,875,35-44
266500,,556,35-44
106500,5100.0,855,>74
146500,1620.0,695,45-54
516500,11220.0,706,55-64
426500,,822,35-44
406500,19020.0,617,55-64
156500,8880.0,534,35-44
226500,5100.0,766,65-74
296500,4500.0,640,25-34
356500,4080.0,647,25-34
106500,3360.0,525,55-64
566500,7920.0,656,35-44
396500,,720,45-54
216500,10080.0,623,55-64
206500,6180.0,718,35-44
316500,4020.0,846,45-54
366500,4620.0,556,55-64
386500,4680.0,864,35-44
466500,,867,45-54
366500,8100.0,659,65-74
266500,2340.0,757,45-54
366500,9300.0,580,35-44
156500,6780.0,873,25-34
216500,2220.0,717,45-54
346500,,845,55-64
126500,,845,
626500,7440.0,756,65-74
316500,7020.0,778,45-54
556500,7680.0,795,45-54
176500,3420.0,744,<25
1506500,39300.0,877,65-74
266500,14100.0,833,45-54
726500,17580.0,762,45-54
116500,5880.0,599,65-74
246500,3960.0,728,45-54
456500,5340.0,556,45-54
256500,9000.0,720,35-44
426500,6360.0,556,25-34
246500,2640.0,749,25-34
136500,6360.0,864,55-64
86500,5100.0,724,35-44
316500,4380.0,544,45-54
236500,,723,55-64
426500,12840.0,614,35-44
216500,2940.0,778,35-44
116500,1500.0,646,<25
416500,6360.0,710,45-54
606500,,704,65-74
126500,3180.0,663,35-44
116500,,714,45-54
886500,14580.0,730,35-44
236500,6600.0,706,25-34
296500,3180.0,811,25-34
546500,10560.0,698,35-44
296500,5880.0,558,45-54
576500,16200.0,636,55-64
96500,5100.0,604,45-54
606500,9360.0,894,45-54
66500,1140.0,618,65-74
216500,4800.0,736,45-54
476500,6900.0,541,45-54
166500,1740.0,607,65-74
316500,0.0,617,35-44
546500,,724,25-34
496500,13200.0,865,25-34
326500,8580.0,664,35-44
346500,6120.0,675,65-74
226500,5400.0,583,35-44
726500,8760.0,733,45-54
306500,3480.0,527,65-74
436500,6300.0,613,55-64
326500,7980.0,649,35-44
156500,8400.0,615,>74
436500,,646,25-34
316500,,607,55-64
256500,4440.0,539,55-64
556500,11820.0,545,25-34
86500,2280.0,848,55-64
286500,3240.0,786,25-34
196500,3240.0,560,35-44
376500,3900.0,771,45-54
406500,11760.0,699,45-54
726500,6300.0,505,65-74
336500,3000.0,786,>74
456500,49920.0,626,35-44
156500,12480.0,569,45-54
296500,6600.0,787,65-74
416500,4980.0,801,45-54
316500,7620.0,743,55-64
356500,7020.0,574,55-64
606500,11460.0,641,55-64
326500,5460.0,784,45-54
166500,3600.0,785,35-44
276500,8160.0,858,45-54
116500,5100.0,617,55-64
216500,4620.0,673,25-34
316500,4200.0,682,35-44
386500,4440.0,597,65-74
346500,8220.0,834,45-54
246500,3900.0,630,45-54
406500,6420.0,884,35-44
146500,3000.0,876,35-44
206500,4140.0,665,65-74
116500,2280.0,628,>74
376500,6540.0,873,55-64
216500,3180.0,860,>74
256500,9060.0,745,35-44
636500,7500.0,501,45-54
316500,5400.0,582,>74
346500,10620.0,716,35-44
156500,1440.0,884,55-64
106500,4500.0,715,>74
186500,4800.0,832,55-64
316500,3420.0,818,65-74
166500,6660.0,550,25-34
116500,1140.0,513,45-54
156500,2760.0,809,>74
296500,4260.0,871,55-64
106500,4920.0,607,55-64
486500,4740.0,797,35-44
426500,5340.0,581,35-44
146500,2580.0,528,>74
506500,9060.0,803,35-44
296500,7020.0,534,35-44
346500,3780.0,732,55-64
236500,7320.0,544,25-34
276500,7080.0,639,45-54
336500,2640.0,590,35-44
346500,6360.0,693,25-34
126500,3060.0,727,45-54
816500,12420.0,876,45-54
666500,9120.0,881,35-44
426500,10200.0,694,45-54
596500,,844,25-34
286500,8100.0,509,55-64
646500,8640.0,765,55-64
236500,3960.0,529,45-54
256500,3120.0,782,45-54
236500,2220.0,780,55-64
486500,5040.0,890,25-34
486500,6720.0,867,35-44
416500,10140.0,646,55-64
616500,9180.0,541,35-44
186500,3900.0,821,55-64
516500,15360.0,732,45-54
656500,,568,35-44
306500,6060.0,849,45-54
646500,13200.0,875,45-54
146500,4680.0,780,35-44
146500,4020.0,858,35-44
236500,2460.0,577,35-44
256500,9180.0,787,45-54
446500,7980.0,828,45-54
276500,2460.0,561,>74
256500,2700.0,633,45-54
486500,22260.0,771,45-54
406500,,843,25-34
116500,12360.0,866,55-64
86500,3780.0,688,55-64
276500,10380.0,598,45-54
276500,9780.0,627,25-34
376500,6000.0,686,65-74
196500,5880.0,856,55-64
246500,5160.0,563,55-64
146500,5340.0,691,35-44
326500,10920.0,899,25-34
176500,2700.0,706,35-44
146500,2220.0,669,55-64
376500,6480.0,743,65-74
576500,9780.0,843,55-64
236500,7020.0,803,45-54
306500,0.0,697,>74
576500,6900.0,609,55-64
576500,5220.0,713,55-64
346500,,632,55-64
446500,9240.0,869,55-64
286500,10020.0,865,35-44
266500,3120.0,846,25-34
436500,6960.0,632,35-44
86500,6960.0,852,25-34
296500,3360.0,539,25-34
536500,14880.0,752,25-34
116500,3060.0,829,25-34
336500,3600.0,899,55-64
226500,5640.0,544,25-34
166500,4320.0,898,65-74
266500,4320.0,826,65-74
186500,4980.0,893,35-44
226500,6060.0,764,55-64
156500,4140.0,827,65-74
196500,2520.0,716,65-74
86500,2520.0,827,65-74
106500,2040.0,753,55-64
196500,3840.0,662,45-54
386500,,896,25-34
106500,1920.0,627,<25
636500,6960.0,885,45-54
216500,3300.0,769,55-64
116500,5700.0,703,45-54
386500,7740.0,621,55-64
76500,1440.0,630,65-74
376500,7680.0,599,45-54
316500,4620.0,575,>74
296500,,892,25-34
606500,8400.0,734,55-64
306500,4320.0,716,45-54
596500,13440.0,538,45-54
296500,5280.0,890,35-44
236500,,709,45-54
456500,10260.0,863,25-34
286500,6240.0,822,35-44
486500,,697,35-44
146500,3840.0,822,35-44
96500,1980.0,741,>74
356500,,504,25-34
536500,11340.0,611,35-44
346500,3540.0,560,25-34
466500,6960.0,706,25-34
396500,4860.0,616,25-34
316500,5040.0,660,45-54
116500,3360.0,664,45-54
426500,10920.0,617,35-44
186500,5040.0,511,35-44
166500,4380.0,785,55-64
156500,3840.0,537,35-44
416500,5040.0,731,45-54
366500,4380.0,634,65-74
186500,1560.0,646,55-64
186500,7680.0,676,35-44
206500,7740.0,588,35-44
256500,3960.0,802,<25
176500,2460.0,811,55-64
226500,3360.0,651,65-74
256500,7800.0,579,45-54
316500,8940.0,872,45-54
496500,5340.0,779,35-44
396500,11640.0,568,45-54
416500,11520.0,539,45-54
306500,3120.0,710,>74
436500,5040.0,764,55-64
306500,,680,25-34
666500,8520.0,871,35-44
686500,9360.0,806,35-44
476500,7800.0,900,65-74
486500,7380.0,857,45-54
456500,14880.0,887,55-64
336500,11160.0,772,55-64
96500,1680.0,502,65-74
226500,3300.0,618,>74
396500,12960.0,512,45-54
406500,5280.0,806,25-34
246500,2760.0,534,>74
166500,3240.0,705,35-44
236500,8100.0,620,45-54
726500,13800.0,634,35-44
286500,8040.0,890,55-64
166500,4380.0,899,35-44
416500,11340.0,635,55-64
556500,5400.0,689,55-64
686500,16560.0,622,35-44
196500,3900.0,758,65-74
306500,,774,45-54
296500,4740.0,685,45-54
66500,3480.0,808,65-74
676500,10020.0,877,25-34
526500,3600.0,731,55-64
416500,8520.0,877,45-54
376500,5760.0,801,35-44
256500,0.0,780,45-54
296500,14100.0,805,>74
216500,,871,45-54
166500,6000.0,570,>74
326500,7500.0,775,65-74
96500,2220.0,626,<25
446500,3300.0,520,35-44
126500,2400.0,702,25-34
456500,3840.0,767,65-74
146500,5760.0,900,45-54
346500,5880.0,611,35-44
296500,7020.0,721,45-54
306500,6840.0,574,35-44
246500,6300.0,900,65-74
546500,18720.0,727,35-44
156500,,585,45-54
216500,9600.0,605,55-64
406500,9600.0,607,35-44
126500,6360.0,872,55-64
626500,14820.0,802,55-64
346500,3960.0,609,55-64
276500,11640.0,603,35-44
266500,4620.0,686,55-64
426500,8220.0,513,65-74
136500,2820.0,662,55-64
236500,4740.0,830,25-34
226500,7080.0,781,55-64
146500,3540.0,700,65-74
326500,7320.0,800,25-34
516500,5700.0,688,25-34
126500,4020.0,675,25-34
106500,2160.0,609,45-54
226500,6540.0,653,45-54
466500,6180.0,552,45-54
496500,5520.0,520,35-44
96500,2340.0,865,55-64
396500,5520.0,528,45-54
136500,2160.0,894,45-54
326500,6540.0,818,25-34
326500,3300.0,875,45-54
236500,5880.0,614,35-44
326500,13380.0,653,25-34
286500,5400.0,734,45-54
626500,6600.0,602,45-54
396500,,714,25-34
496500,11820.0,573,35-44
436500,5880.0,835,65-74
456500,4680.0,602,35-44
326500,7440.0,532,35-44
176500,2580.0,611,55-64
296500,6420.0,560,35-44
536500,6000.0,715,35-44
676500,12420.0,863,35-44
446500,5820.0,882,35-44
476500,9000.0,556,45-54
206500,4860.0,626,35-44
516500,,525,55-64
186500,2880.0,668,25-34
276500,4560.0,866,35-44
86500,1620.0,773,>74
166500,4140.0,751,55-64
136500,2460.0,863,45-54
366500,2220.0,688,45-54
196500,5520.0,622,45-54
116500,1500.0,725,65-74
466500,8100.0,825,45-54
256500,7560.0,525,55-64
496500,13440.0,771,45-54
416500,6360.0,679,45-54
136500,1980.0,595,>74
206500,6060.0,765,45-54
776500,14760.0,709,45-54
106500,3060.0,597,55-64
66500,6780.0,589,55-64
216500,2700.0,779,55-64
326500,3720.0,797,45-54
